Back to Contents,Data 1: Price of U.S. Natural Gas Imports (Dollars per Thousand Cubic Feet)
Sourcekey,N9100US3
Date,Price of U.S. Natural Gas Imports (Dollars per Thousand Cubic Feet)
1989-01-15 00:00:00,1.72
1989-02-15 00:00:00,1.88
1989-03-15 00:00:00,1.81
1989-04-15 00:00:00,1.73
1989-05-15 00:00:00,1.76
1989-06-15 00:00:00,1.81
1989-07-15 00:00:00,1.75
1989-08-15 00:00:00,1.77
1989-09-15 00:00:00,1.77
1989-10-15 00:00:00,1.78
1989-11-15 00:00:00,1.91
1989-12-15 00:00:00,1.99
1990-01-15 00:00:00,2.12
1990-02-15 00:00:00,2.1
1990-03-15 00:00:00,1.99
1990-04-15 00:00:00,1.82
1990-05-15 00:00:00,1.79
1990-06-15 00:00:00,1.79
1990-07-15 00:00:00,1.83
1990-08-15 00:00:00,1.78
1990-09-15 00:00:00,1.8
1990-10-15 00:00:00,1.84
1990-11-15 00:00:00,2.12
1990-12-15 00:00:00,2.13
1991-01-15 00:00:00,2.11
1991-02-15 00:00:00,1.92
1991-03-15 00:00:00,1.86
1991-04-15 00:00:00,1.79
1991-05-15 00:00:00,1.74
1991-06-15 00:00:00,1.72
1991-07-15 00:00:00,1.68
1991-08-15 00:00:00,1.6
1991-09-15 00:00:00,1.67
1991-10-15 00:00:00,1.8
1991-11-15 00:00:00,1.91
1991-12-15 00:00:00,1.98
1992-01-15 00:00:00,1.98
1992-02-15 00:00:00,1.68
1992-03-15 00:00:00,1.65
1992-04-15 00:00:00,1.63
1992-05-15 00:00:00,1.66
1992-06-15 00:00:00,1.77
1992-07-15 00:00:00,1.7
1992-08-15 00:00:00,1.83
1992-09-15 00:00:00,1.96
1992-10-15 00:00:00,2.22
1992-11-15 00:00:00,1.96
1992-12-15 00:00:00,2.13
1993-01-15 00:00:00,2.07
1993-02-15 00:00:00,1.89
1993-03-15 00:00:00,1.94
1993-04-15 00:00:00,2.03
1993-05-15 00:00:00,2.17
1993-06-15 00:00:00,1.98
1993-07-15 00:00:00,1.92
1993-08-15 00:00:00,1.97
1993-09-15 00:00:00,2.09
1993-10-15 00:00:00,1.93
1993-11-15 00:00:00,2.07
1993-12-15 00:00:00,2.27
1994-01-15 00:00:00,2.11
1994-02-15 00:00:00,2.24
1994-03-15 00:00:00,2.21
1994-04-15 00:00:00,1.96
1994-05-15 00:00:00,1.94
1994-06-15 00:00:00,1.77
1994-07-15 00:00:00,1.82
1994-08-15 00:00:00,1.76
1994-09-15 00:00:00,1.66
1994-10-15 00:00:00,1.54
1994-11-15 00:00:00,1.71
1994-12-15 00:00:00,1.72
1995-01-15 00:00:00,1.6
1995-02-15 00:00:00,1.46
1995-03-15 00:00:00,1.4
1995-04-15 00:00:00,1.37
1995-05-15 00:00:00,1.46
1995-06-15 00:00:00,1.47
1995-07-15 00:00:00,1.4
1995-08-15 00:00:00,1.34
1995-09-15 00:00:00,1.43
1995-10-15 00:00:00,1.48
1995-11-15 00:00:00,1.61
1995-12-15 00:00:00,1.8
1996-01-15 00:00:00,2.09
1996-02-15 00:00:00,1.95
1996-03-15 00:00:00,1.92
1996-04-15 00:00:00,1.87
1996-05-15 00:00:00,1.72
1996-06-15 00:00:00,1.7
1996-07-15 00:00:00,1.84
1996-08-15 00:00:00,1.8
1996-09-15 00:00:00,1.62
1996-10-15 00:00:00,1.71
1996-11-15 00:00:00,2.26
1996-12-15 00:00:00,3
1997-01-15 00:00:00,3.26
1997-02-15 00:00:00,2.52
1997-03-15 00:00:00,1.72
1997-04-15 00:00:00,1.67
1997-05-15 00:00:00,1.83
1997-06-15 00:00:00,1.88
1997-07-15 00:00:00,1.84
1997-08-15 00:00:00,1.83
1997-09-15 00:00:00,2.01
1997-10-15 00:00:00,2.33
1997-11-15 00:00:00,2.72
1997-12-15 00:00:00,2.19
1998-01-15 00:00:00,2.08
1998-02-15 00:00:00,1.94
1998-03-15 00:00:00,1.98
1998-04-15 00:00:00,2.04
1998-05-15 00:00:00,2.02
1998-06-15 00:00:00,1.88
1998-07-15 00:00:00,1.97
1998-08-15 00:00:00,1.82
1998-09-15 00:00:00,1.68
1998-10-15 00:00:00,1.93
1998-11-15 00:00:00,2.12
1998-12-15 00:00:00,2.16
1999-01-15 00:00:00,2.03
1999-02-15 00:00:00,1.93
1999-03-15 00:00:00,1.8
1999-04-15 00:00:00,1.85
1999-05-15 00:00:00,2.17
1999-06-15 00:00:00,2.13
1999-07-15 00:00:00,2.18
1999-08-15 00:00:00,2.39
1999-09-15 00:00:00,2.63
1999-10-15 00:00:00,2.5
1999-11-15 00:00:00,2.85
1999-12-15 00:00:00,2.34
2000-01-15 00:00:00,2.44
2000-02-15 00:00:00,2.6
2000-03-15 00:00:00,2.61
2000-04-15 00:00:00,2.86
2000-05-15 00:00:00,3.05
2000-06-15 00:00:00,3.87
2000-07-15 00:00:00,3.94
2000-08-15 00:00:00,3.62
2000-09-15 00:00:00,4.15
2000-10-15 00:00:00,5.16
2000-11-15 00:00:00,4.86
2000-12-15 00:00:00,7.35
2001-01-15 00:00:00,9.47
2001-02-15 00:00:00,6.45
2001-03-15 00:00:00,5.42
2001-04-15 00:00:00,5.35
2001-05-15 00:00:00,4.95
2001-06-15 00:00:00,3.94
2001-07-15 00:00:00,3.17
2001-08-15 00:00:00,3.14
2001-09-15 00:00:00,2.63
2001-10-15 00:00:00,2.14
2001-11-15 00:00:00,2.95
2001-12-15 00:00:00,2.68
2002-01-15 00:00:00,2.73
2002-02-15 00:00:00,2.32
2002-03-15 00:00:00,2.61
2002-04-15 00:00:00,3.27
2002-05-15 00:00:00,3.25
2002-06-15 00:00:00,3.08
2002-07-15 00:00:00,2.84
2002-08-15 00:00:00,2.7
2002-09-15 00:00:00,3.06
2002-10-15 00:00:00,3.56
2002-11-15 00:00:00,4.04
2002-12-15 00:00:00,4.2
2003-01-15 00:00:00,4.89
2003-02-15 00:00:00,5.71
2003-03-15 00:00:00,7.61
2003-04-15 00:00:00,5
2003-05-15 00:00:00,5.04
2003-06-15 00:00:00,5.53
2003-07-15 00:00:00,5.11
2003-08-15 00:00:00,4.54
2003-09-15 00:00:00,4.67
2003-10-15 00:00:00,4.48
2003-11-15 00:00:00,4.51
2003-12-15 00:00:00,5.08
2004-01-15 00:00:00,5.98
2004-02-15 00:00:00,5.67
2004-03-15 00:00:00,5.15
2004-04-15 00:00:00,5.21
2004-05-15 00:00:00,5.63
2004-06-15 00:00:00,6.06
2004-07-15 00:00:00,5.75
2004-08-15 00:00:00,5.62
2004-09-15 00:00:00,4.96
2004-10-15 00:00:00,5.38
2004-11-15 00:00:00,6.98
2004-12-15 00:00:00,6.96
2005-01-15 00:00:00,6.3
2005-02-15 00:00:00,6.14
2005-03-15 00:00:00,6.24
2005-04-15 00:00:00,6.92
2005-05-15 00:00:00,6.58
2005-06-15 00:00:00,6.35
2005-07-15 00:00:00,6.82
2005-08-15 00:00:00,7.5
2005-09-15 00:00:00,9.96
2005-10-15 00:00:00,11.99
2005-11-15 00:00:00,11.31
2005-12-15 00:00:00,10.91
2006-01-15 00:00:00,10.11
2006-02-15 00:00:00,7.96
2006-03-15 00:00:00,7
2006-04-15 00:00:00,6.73
2006-05-15 00:00:00,6.53
2006-06-15 00:00:00,5.83
2006-07-15 00:00:00,5.95
2006-08-15 00:00:00,6.74
2006-09-15 00:00:00,5.83
2006-10-15 00:00:00,4.88
2006-11-15 00:00:00,7.24
2006-12-15 00:00:00,7.6
2007-01-15 00:00:00,6.5
2007-02-15 00:00:00,7.39
2007-03-15 00:00:00,7.45
2007-04-15 00:00:00,7.24
2007-05-15 00:00:00,7.45
2007-06-15 00:00:00,7.32
2007-07-15 00:00:00,6.56
2007-08-15 00:00:00,6
2007-09-15 00:00:00,5.49
2007-10-15 00:00:00,6.35
2007-11-15 00:00:00,7.21
2007-12-15 00:00:00,7.51
2008-01-15 00:00:00,7.66
2008-02-15 00:00:00,8.34
2008-03-15 00:00:00,9.03
2008-04-15 00:00:00,9.61
2008-05-15 00:00:00,10.8
2008-06-15 00:00:00,11.71
2008-07-15 00:00:00,11.78
2008-08-15 00:00:00,8.67
2008-09-15 00:00:00,7.54
2008-10-15 00:00:00,6.87
2008-11-15 00:00:00,6.54
2008-12-15 00:00:00,6.74
2009-01-15 00:00:00,6.18
2009-02-15 00:00:00,5.21
2009-03-15 00:00:00,4.34
2009-04-15 00:00:00,3.67
2009-05-15 00:00:00,3.48
2009-06-15 00:00:00,3.51
2009-07-15 00:00:00,3.5
2009-08-15 00:00:00,3.29
2009-09-15 00:00:00,2.91
2009-10-15 00:00:00,3.92
2009-11-15 00:00:00,4.4
2009-12-15 00:00:00,5.23
2010-01-15 00:00:00,5.95
2010-02-15 00:00:00,5.62
2010-03-15 00:00:00,4.87
2010-04-15 00:00:00,4.13
2010-05-15 00:00:00,4.13
2010-06-15 00:00:00,4.23
2010-07-15 00:00:00,4.4
2010-08-15 00:00:00,4.13
2010-09-15 00:00:00,3.76
2010-10-15 00:00:00,3.83
2010-11-15 00:00:00,3.96
2010-12-15 00:00:00,4.56
2011-01-15 00:00:00,4.66
2011-02-15 00:00:00,4.49
2011-03-15 00:00:00,4.24
2011-04-15 00:00:00,4.35
2011-05-15 00:00:00,4.31
2011-06-15 00:00:00,4.6
2011-07-15 00:00:00,4.39
2011-08-15 00:00:00,4.4
2011-09-15 00:00:00,3.92
2011-10-15 00:00:00,4.06
2011-11-15 00:00:00,3.58
2011-12-15 00:00:00,3.66
2012-01-15 00:00:00,3.27
2012-02-15 00:00:00,2.86
2012-03-15 00:00:00,2.36
2012-04-15 00:00:00,2.04
2012-05-15 00:00:00,2.29
2012-06-15 00:00:00,2.35
2012-07-15 00:00:00,2.78
2012-08-15 00:00:00,2.83
2012-09-15 00:00:00,2.67
2012-10-15 00:00:00,3.16
2012-11-15 00:00:00,4.03
2012-12-15 00:00:00,3.93
2013-01-15 00:00:00,4.14
2013-02-15 00:00:00,3.99
2013-03-15 00:00:00,3.84
2013-04-15 00:00:00,3.98
2013-05-15 00:00:00,3.94
2013-06-15 00:00:00,3.9
2013-07-15 00:00:00,3.41
2013-08-15 00:00:00,3.17
2013-09-15 00:00:00,3.49
2013-10-15 00:00:00,3.4
2013-11-15 00:00:00,3.77
2013-12-15 00:00:00,4.75
2014-01-15 00:00:00,7.15
2014-02-15 00:00:00,9.11
2014-03-15 00:00:00,8.12
2014-04-15 00:00:00,5.11
2014-05-15 00:00:00,4.6
2014-06-15 00:00:00,5.32
2014-07-15 00:00:00,4.77
2014-08-15 00:00:00,3.87
2014-09-15 00:00:00,4.24
2014-10-15 00:00:00,3.87
2014-11-15 00:00:00,3.97
2014-12-15 00:00:00,4.44
2015-01-15 00:00:00,4.75
2015-02-15 00:00:00,5.46
2015-03-15 00:00:00,3.9
2015-04-15 00:00:00,2.59
2015-05-15 00:00:00,2.52
2015-06-15 00:00:00,2.56
2015-07-15 00:00:00,2.66
2015-08-15 00:00:00,2.74
2015-09-15 00:00:00,2.75
2015-10-15 00:00:00,3.23
2015-11-15 00:00:00,2.4
2015-12-15 00:00:00,2.28
2016-01-15 00:00:00,2.8
2016-02-15 00:00:00,2.43
2016-03-15 00:00:00,1.73
2016-04-15 00:00:00,1.61
2016-05-15 00:00:00,1.55
2016-06-15 00:00:00,1.9
2016-07-15 00:00:00,2.35
2016-08-15 00:00:00,2.42
2016-09-15 00:00:00,2.47
2016-10-15 00:00:00,2.59
2016-11-15 00:00:00,2.7
2016-12-15 00:00:00,3.5
2017-01-15 00:00:00,3.74
2017-02-15 00:00:00,3.14
2017-03-15 00:00:00,2.68
2017-04-15 00:00:00,2.64
2017-05-15 00:00:00,2.7
2017-06-15 00:00:00,2.62
2017-07-15 00:00:00,2.4
2017-08-15 00:00:00,2.38
2017-09-15 00:00:00,2.12
2017-10-15 00:00:00,2.06
2017-11-15 00:00:00,2.53
2017-12-15 00:00:00,3.27
2018-01-15 00:00:00,4.41
2018-02-15 00:00:00,3.02
2018-03-15 00:00:00,2.45
2018-04-15 00:00:00,2.2
2018-05-15 00:00:00,1.73
2018-06-15 00:00:00,1.87
2018-07-15 00:00:00,2.16
2018-08-15 00:00:00,2.22
2018-09-15 00:00:00,2.09
2018-10-15 00:00:00,2.61
2018-11-15 00:00:00,4.1
2018-12-15 00:00:00,4.89
2019-01-15 00:00:00,4.3
2019-02-15 00:00:00,4.06
2019-03-15 00:00:00,3.79
2019-04-15 00:00:00,2.14
2019-05-15 00:00:00,1.81
2019-06-15 00:00:00,1.54
2019-07-15 00:00:00,1.86
2019-08-15 00:00:00,1.73
2019-09-15 00:00:00,1.65
2019-10-15 00:00:00,2.15
2019-11-15 00:00:00,2.8
2019-12-15 00:00:00,3.23
2020-01-15 00:00:00,2.64
2020-02-15 00:00:00,2.04
2020-03-15 00:00:00,1.68
2020-04-15 00:00:00,1.5
2020-05-15 00:00:00,1.63
2020-06-15 00:00:00,1.54
2020-07-15 00:00:00,1.65
2020-08-15 00:00:00,1.89
2020-09-15 00:00:00,2.02
2020-10-15 00:00:00,2.19
2020-11-15 00:00:00,2.71
2020-12-15 00:00:00,2.8
2021-01-15 00:00:00,2.86
2021-02-15 00:00:00,5.63
2021-03-15 00:00:00,2.66
2021-04-15 00:00:00,2.44
2021-05-15 00:00:00,2.7
2021-06-15 00:00:00,2.83
2021-07-15 00:00:00,3.41
2021-08-15 00:00:00,3.52
2021-09-15 00:00:00,4.07
2021-10-15 00:00:00,4.79
2021-11-15 00:00:00,5.18
2021-12-15 00:00:00,4.74
2022-01-15 00:00:00,6.94
2022-02-15 00:00:00,5.67
2022-03-15 00:00:00,4.7
2022-04-15 00:00:00,5.49
2022-05-15 00:00:00,6.72
2022-06-15 00:00:00,7.03
2022-07-15 00:00:00,6
2022-08-15 00:00:00,6.62
2022-09-15 00:00:00,6
2022-10-15 00:00:00,4.67
2022-11-15 00:00:00,5.8
2022-12-15 00:00:00,9.75
2023-01-15 00:00:00,8.49
2023-02-15 00:00:00,5.17
2023-03-15 00:00:00,3.28
2023-04-15 00:00:00,2.5
2023-05-15 00:00:00,2.01
2023-06-15 00:00:00,2.02
2023-07-15 00:00:00,2.44
2023-08-15 00:00:00,2.52
2023-09-15 00:00:00,2.28
2023-10-15 00:00:00,2.36
2023-11-15 00:00:00,3.03
2023-12-15 00:00:00,2.8
2024-01-15 00:00:00,4.6
2024-02-15 00:00:00,2.44
2024-03-15 00:00:00,1.72
2024-04-15 00:00:00,1.36
2024-05-15 00:00:00,1.33
2024-06-15 00:00:00,1.45
2024-07-15 00:00:00,1.47
2024-08-15 00:00:00,1.29
2024-09-15 00:00:00,1.35
2024-10-15 00:00:00,1.6
2024-11-15 00:00:00,1.92
2024-12-15 00:00:00,3.13
