Back to Contents,Data 1: U.S. Natural Gas Deliveries to Electric Power Consumers (MMcf)
Sourcekey,N3045US2
Date,U.S. Natural Gas Deliveries to Electric Power Consumers (MMcf)
2001-01-15 00:00:00,340292
2001-02-15 00:00:00,312843
2001-03-15 00:00:00,362843
2001-04-15 00:00:00,384494
2001-05-15 00:00:00,433923
2001-06-15 00:00:00,492819
2001-07-15 00:00:00,634425
2001-08-15 00:00:00,686753
2001-09-15 00:00:00,510262
2001-10-15 00:00:00,466080
2001-11-15 00:00:00,350549
2001-12-15 00:00:00,367018
2002-01-15 00:00:00,381434
2002-02-15 00:00:00,344243
2002-03-15 00:00:00,406516
2002-04-15 00:00:00,404384
2002-05-15 00:00:00,410108
2002-06-15 00:00:00,550941
2002-07-15 00:00:00,733887
2002-08-15 00:00:00,717592
2002-09-15 00:00:00,568699
2002-10-15 00:00:00,442357
2002-11-15 00:00:00,351612
2002-12-15 00:00:00,360123
2003-01-15 00:00:00,382443
2003-02-15 00:00:00,334698
2003-03-15 00:00:00,361243
2003-04-15 00:00:00,352164
2003-05-15 00:00:00,394021
2003-06-15 00:00:00,435598
2003-07-15 00:00:00,630270
2003-08-15 00:00:00,683513
2003-09-15 00:00:00,468510
2003-10-15 00:00:00,408817
2003-11-15 00:00:00,348129
2003-12-15 00:00:00,335810
2004-01-15 00:00:00,361401
2004-02-15 00:00:00,373466
2004-03-15 00:00:00,375203
2004-04-15 00:00:00,389328
2004-05-15 00:00:00,485114
2004-06-15 00:00:00,508140
2004-07-15 00:00:00,626401
2004-08-15 00:00:00,612571
2004-09-15 00:00:00,529440
2004-10-15 00:00:00,439841
2004-11-15 00:00:00,376169
2004-12-15 00:00:00,386690
2005-01-15 00:00:00,384710
2005-02-15 00:00:00,330547
2005-03-15 00:00:00,386309
2005-04-15 00:00:00,390358
2005-05-15 00:00:00,422978
2005-06-15 00:00:00,594137
2005-07-15 00:00:00,777000
2005-08-15 00:00:00,791293
2005-09-15 00:00:00,577543
2005-10-15 00:00:00,434692
2005-11-15 00:00:00,373351
2005-12-15 00:00:00,406226
2006-01-15 00:00:00,318364
2006-02-15 00:00:00,346138
2006-03-15 00:00:00,406970
2006-04-15 00:00:00,426027
2006-05-15 00:00:00,504409
2006-06-15 00:00:00,629660
2006-07-15 00:00:00,863531
2006-08-15 00:00:00,840197
2006-09-15 00:00:00,548321
2006-10-15 00:00:00,527532
2006-11-15 00:00:00,396586
2006-12-15 00:00:00,414365
2007-01-15 00:00:00,448149
2007-02-15 00:00:00,425485
2007-03-15 00:00:00,416015
2007-04-15 00:00:00,453144
2007-05-15 00:00:00,507089
2007-06-15 00:00:00,628467
2007-07-15 00:00:00,760521
2007-08-15 00:00:00,969433
2007-09-15 00:00:00,683327
2007-10-15 00:00:00,604092
2007-11-15 00:00:00,448180
2007-12-15 00:00:00,497505
2008-01-15 00:00:00,531460
2008-02-15 00:00:00,438868
2008-03-15 00:00:00,460763
2008-04-15 00:00:00,469607
2008-05-15 00:00:00,475467
2008-06-15 00:00:00,665436
2008-07-15 00:00:00,782039
2008-08-15 00:00:00,762946
2008-09-15 00:00:00,602565
2008-10-15 00:00:00,545244
2008-11-15 00:00:00,457591
2008-12-15 00:00:00,476394
2009-01-15 00:00:00,487426
2009-02-15 00:00:00,453472
2009-03-15 00:00:00,499678
2009-04-15 00:00:00,451395
2009-05-15 00:00:00,515476
2009-06-15 00:00:00,642797
2009-07-15 00:00:00,778017
2009-08-15 00:00:00,840317
2009-09-15 00:00:00,690011
2009-10-15 00:00:00,537013
2009-11-15 00:00:00,457085
2009-12-15 00:00:00,519846
2010-01-15 00:00:00,545811
2010-02-15 00:00:00,479615
2010-03-15 00:00:00,456864
2010-04-15 00:00:00,471481
2010-05-15 00:00:00,559665
2010-06-15 00:00:00,705665
2010-07-15 00:00:00,897182
2010-08-15 00:00:00,943002
2010-09-15 00:00:00,696723
2010-10-15 00:00:00,570363
2010-11-15 00:00:00,496539
2010-12-15 00:00:00,564274
2011-01-15 00:00:00,539792
2011-02-15 00:00:00,483686
2011-03-15 00:00:00,481926
2011-04-15 00:00:00,521453
2011-05-15 00:00:00,571998
2011-06-15 00:00:00,699414
2011-07-15 00:00:00,938575
2011-08-15 00:00:00,921449
2011-09-15 00:00:00,684198
2011-10-15 00:00:00,574932
2011-11-15 00:00:00,542546
2011-12-15 00:00:00,613894
2012-01-15 00:00:00,648823
2012-02-15 00:00:00,644530
2012-03-15 00:00:00,674099
2012-04-15 00:00:00,714338
2012-05-15 00:00:00,812467
2012-06-15 00:00:00,879881
2012-07-15 00:00:00,1081688
2012-08-15 00:00:00,1003938
2012-09-15 00:00:00,802588
2012-10-15 00:00:00,669195
2012-11-15 00:00:00,579745
2012-12-15 00:00:00,599502
2013-01-15 00:00:00,631685
2013-02-15 00:00:00,568388
2013-03-15 00:00:00,603910
2013-04-15 00:00:00,564827
2013-05-15 00:00:00,614808
2013-06-15 00:00:00,737150
2013-07-15 00:00:00,911124
2013-08-15 00:00:00,900530
2013-09-15 00:00:00,751482
2013-10-15 00:00:00,637038
2013-11-15 00:00:00,601019
2013-12-15 00:00:00,668792
2014-01-15 00:00:00,662881
2014-02-15 00:00:00,551109
2014-03-15 00:00:00,560808
2014-04-15 00:00:00,548899
2014-05-15 00:00:00,646929
2014-06-15 00:00:00,720750
2014-07-15 00:00:00,843303
2014-08-15 00:00:00,897806
2014-09-15 00:00:00,770947
2014-10-15 00:00:00,703390
2014-11-15 00:00:00,600392
2014-12-15 00:00:00,638769
2015-01-15 00:00:00,711324
2015-02-15 00:00:00,648343
2015-03-15 00:00:00,708731
2015-04-15 00:00:00,664276
2015-05-15 00:00:00,734486
2015-06-15 00:00:00,886475
2015-07-15 00:00:00,1045542
2015-08-15 00:00:00,1026590
2015-09-15 00:00:00,895044
2015-10-15 00:00:00,791541
2015-11-15 00:00:00,732413
2015-12-15 00:00:00,768606
2016-01-15 00:00:00,773954
2016-02-15 00:00:00,689800
2016-03-15 00:00:00,744765
2016-04-15 00:00:00,718893
2016-05-15 00:00:00,804431
2016-06-15 00:00:00,970308
2016-07-15 00:00:00,1139968
2016-08-15 00:00:00,1151236
2016-09-15 00:00:00,915286
2016-10-15 00:00:00,743796
2016-11-15 00:00:00,662046
2016-12-15 00:00:00,670787
2017-01-15 00:00:00,659623
2017-02-15 00:00:00,568781
2017-03-15 00:00:00,672176
2017-04-15 00:00:00,627049
2017-05-15 00:00:00,700059
2017-06-15 00:00:00,851035
2017-07-15 00:00:00,1081826
2017-08-15 00:00:00,1022019
2017-09-15 00:00:00,859260
2017-10-15 00:00:00,772543
2017-11-15 00:00:00,666156
2017-12-15 00:00:00,785029
2018-01-15 00:00:00,786001
2018-02-15 00:00:00,690022
2018-03-15 00:00:00,756528
2018-04-15 00:00:00,703919
2018-05-15 00:00:00,848085
2018-06-15 00:00:00,952554
2018-07-15 00:00:00,1223514
2018-08-15 00:00:00,1185530
2018-09-15 00:00:00,1029799
2018-10-15 00:00:00,887814
2018-11-15 00:00:00,762951
2018-12-15 00:00:00,762221
2019-01-15 00:00:00,848519
2019-02-15 00:00:00,779310
2019-03-15 00:00:00,813526
2019-04-15 00:00:00,739680
2019-05-15 00:00:00,836087
2019-06-15 00:00:00,990562
2019-07-15 00:00:00,1254667
2019-08-15 00:00:00,1277904
2019-09-15 00:00:00,1080775
2019-10-15 00:00:00,936668
2019-11-15 00:00:00,818868
2019-12-15 00:00:00,911529
2020-01-15 00:00:00,948931
2020-02-15 00:00:00,893044
2020-03-15 00:00:00,890784
2020-04-15 00:00:00,777804
2020-05-15 00:00:00,837108
2020-06-15 00:00:00,1041101
2020-07-15 00:00:00,1345797
2020-08-15 00:00:00,1276048
2020-09-15 00:00:00,1015907
2020-10-15 00:00:00,948293
2020-11-15 00:00:00,772059
2020-12-15 00:00:00,884847
2021-01-15 00:00:00,864025
2021-02-15 00:00:00,784546
2021-03-15 00:00:00,741980
2021-04-15 00:00:00,761281
2021-05-15 00:00:00,813818
2021-06-15 00:00:00,1087086
2021-07-15 00:00:00,1238444
2021-08-15 00:00:00,1262329
2021-09-15 00:00:00,988732
2021-10-15 00:00:00,939059
2021-11-15 00:00:00,868341
2021-12-15 00:00:00,878946
2022-01-15 00:00:00,949215
2022-02-15 00:00:00,803999
2022-03-15 00:00:00,776847
2022-04-15 00:00:00,743075
2022-05-15 00:00:00,922687
2022-06-15 00:00:00,1144526
2022-07-15 00:00:00,1404970
2022-08-15 00:00:00,1380145
2022-09-15 00:00:00,1125139
2022-10-15 00:00:00,946433
2022-11-15 00:00:00,902107
2022-12-15 00:00:00,992402
2023-01-15 00:00:00,967085
2023-02-15 00:00:00,870374
2023-03-15 00:00:00,931959
2023-04-15 00:00:00,868551
2023-05-15 00:00:00,995707
2023-06-15 00:00:00,1176416
2023-07-15 00:00:00,1471338
2023-08-15 00:00:00,1462470
2023-09-15 00:00:00,1191126
2023-10-15 00:00:00,1016374
2023-11-15 00:00:00,964981
2023-12-15 00:00:00,1013898
2024-01-15 00:00:00,1136447
2024-02-15 00:00:00,917197
2024-03-15 00:00:00,922250
2024-04-15 00:00:00,880439
2024-05-15 00:00:00,1045307
2024-06-15 00:00:00,1244084
2024-07-15 00:00:00,1534382
2024-08-15 00:00:00,1493479
2024-09-15 00:00:00,1227936
2024-10-15 00:00:00,1070652
2024-11-15 00:00:00,992045
2024-12-15 00:00:00,1033271
